Record_ID,Name,Age,Salary,Date_Joined,Department,Performance_Score,Status,Outlier_Flag,Validation_Flag,Comments
4748,Joseph Lawrence,,,2022-03-14,Sales,4.69,On Leave,,,
563,Brittney Parks,49.0,72375.01,2017-07-08,Sales,2.27,Inactive,Normal,,Great performer
3669,Randall Yates,,,2015-06-16,Marketing,,Inactive,,,
136,Christopher Jarvis,,,2018-01-31,Marketing,,On Leave,,Valid,Struggles with deadlines
3686,Michelle Morgan,59.0,,2015-08-07,Finance,,Inactive,Normal,Valid,Struggles with deadlines
2190,Leslie Coleman,47.0,,2018-08-20,IT,,On Leave,Normal,Valid,Exceeds expectations
5280,John Green,65.0,130130.43,2020-09-28,Finance,,Active,Normal,,Struggles with deadlines
971,Carmen Frazier,,124849.71,2015-11-22,HR,2.12,Active,Normal,Valid,Struggles with deadlines
8820,Timothy Fuller,70.0,129713.65,2015-09-14,IT,3.47,Inactive,Outlier,,Needs improvement in time management
3708,Kimberly Hart MD,,,2021-07-03,Sales,2.08,On Leave,Normal,,Needs improvement in time management
2956,James Alvarez,19.0,89212.37,2017-08-14,IT,,Inactive,Outlier,Invalid,
4000,Angela Robbins,69.0,97454.37,2016-03-26,IT,,On Leave,Outlier,Invalid,
9144,Brianna Fisher,,,2018-05-06,Marketing,2.53,Active,,,Great performer
4846,Brett Holmes,45.0,117960.67,2021-10-25,Finance,,Inactive,Normal,Invalid,
6428,David Gillespie,,68946.83,23-09-2024 04:20:06,Finance,3.14,Active,,,Struggles with deadlines
40,Jason White,,30964.77,2015-03-12,Sales,,On Leave,,Invalid,Needs improvement in time management
2590,Audrey Bautista,,138829.95,2021-02-17,Sales,2.51,Active,,Valid,Struggles with deadlines
2184,Stephen Fry,29.0,,2020-09-04,HR,1.68,Active,Normal,Invalid,Great performer
4451,Lori Johnson,46.0,76636.84,2021-11-26,HR,4.32,On Leave,Normal,,Struggles with deadlines
2819,Karen Scott,,120495.02,2018-01-25,Marketing,1.51,Active,,,Struggles with deadlines
714,Colin Reyes,,91163.39,2016-06-28,HR,1.2,Inactive,,Valid,Great performer
8378,David Coffey,,,2018-11-21,IT,,Active,,,Exceeds expectations
7501,Kristina Palmer,,89897.53,2019-08-07,Sales,4.94,Inactive,,Valid,Exceeds expectations
2471,Steven Craig,,,2017-09-04,Finance,3.15,Inactive,Normal,Valid,Exceeds expectations
8073,Danielle Dunn,,,2020-10-25,HR,2.65,Active,,Valid,
4195,John Bailey,28.0,,2016-05-22,HR,1.46,Inactive,Normal,,Great performer
5799,Nicole Shepherd,15.0,,2020-03-28,IT,3.17,On Leave,Normal,,Struggles with deadlines
8911,Nathan Garcia,15.0,89304.83,2022-12-08,HR,,On Leave,Normal,Valid,Great performer
9555,Brian Herrera,,,2020-06-17,HR,,Inactive,,Invalid,Struggles with deadlines
7969,Thomas Noble,47.0,,2017-12-26,Marketing,,Inactive,Normal,,
3777,Blake Church,,43809.46,2019-04-13,Finance,1.04,Active,,Invalid,Exceeds expectations
2556,Nathan Holden,42.0,,2022-04-29,Finance,,Inactive,Normal,Valid,Struggles with deadlines
7404,Nathan Pham,38.0,,25-09-2023 17:33:12,HR,,Inactive,Normal,,Struggles with deadlines
5770,Gregory Morris,,,2016-05-25,IT,1.58,Inactive,,,Struggles with deadlines
7939,Nicholas Meyer,25.0,63071.61,2024-10-27,Marketing,4.86,Inactive,Normal,Valid,Needs improvement in time management
5517,Randy Maynard,18.0,53035.97,2021-05-14,Marketing,4.89,Inactive,Outlier,Invalid,Great performer
6548,Cole Ashley,,104945.68,2017-02-08,HR,,Active,,Invalid,
566,Kimberly Hall,65.0,,2024-02-22,Finance,,Active,Normal,Invalid,Needs improvement in time management
1871,Michael King,66.0,,2015-02-01,Sales,,Inactive,Outlier,,Needs improvement in time management
6898,Michele Sharp,64.0,,2020-09-08,IT,,Active,Normal,Valid,Needs improvement in time management
4814,Oscar Ward MD,21.0,,2021-08-11,Finance,,Active,Normal,,Exceeds expectations
5958,Martha Wells,,,2024-04-09,Sales,1.15,Active,,Invalid,Needs improvement in time management
5732,Roger Montgomery,25.0,,2019-12-13,Finance,4.97,On Leave,Normal,Valid,Needs improvement in time management
7786,Alexa Trujillo,41.0,,2023-08-17,HR,2.34,Active,Normal,Valid,Great performer
304,Lori Stewart,48.0,,2019-01-18,Finance,,Inactive,Normal,Invalid,Great performer
2961,Billy Young,40.0,,2018-02-20,HR,,Inactive,Normal,,Great performer
3910,Ms. Hannah Harrison,,,30-07-2021 23:29:34,IT,2.34,On Leave,,Invalid,Great performer
3465,Jennifer Lopez,23.0,,2021-10-29,HR,,Active,Normal,Valid,Great performer
312,Erin Cantrell,62.0,,2018-05-01,HR,3.86,Inactive,Normal,,Needs improvement in time management
5226,Brittany Phillips,,111381.46,2022-07-26,IT,1.72,On Leave,,Invalid,Struggles with deadlines
3678,Matthew Mills,,,2024-02-15,IT,,On Leave,,Invalid,Great performer
6662,Jorge Cain,69.0,59926.22,2024-06-12,HR,,On Leave,Outlier,Valid,Needs improvement in time management
4221,Margaret Preston,60.0,,2024-12-23,Sales,4.97,On Leave,Normal,Valid,Needs improvement in time management
5454,Michele Shannon,,110006.19,2022-11-13,Marketing,3.4,On Leave,,Valid,Struggles with deadlines
1731,Stacy Potter,,,2017-05-15,HR,,On Leave,Normal,Invalid,
2128,Dakota Watts,,140948.93,2022-12-06,Sales,4.35,Inactive,,,Needs improvement in time management
2393,William Morris,,,2015-06-28,Marketing,2.88,On Leave,,Valid,Struggles with deadlines
2376,Dana Abbott,,,2021-06-11,Finance,,Inactive,,,Struggles with deadlines
8833,Andrea Cantu,,82745.87,2017-05-02,IT,,On Leave,,Valid,Great performer
6320,Curtis Green,45.0,73348.39,2017-10-21,IT,1.45,Inactive,Normal,,
7743,Deborah Smith,,69616.85,2017-07-02,Finance,,On Leave,,Valid,Struggles with deadlines
5816,Sandra Robinson,55.0,46842.19,2016-09-16,Sales,1.99,Inactive,Normal,Valid,Needs improvement in time management
4383,Sabrina Rivas,58.0,,2017-04-29,Marketing,1.3,Inactive,Normal,,Great performer
5199,Erin Bell PhD,53.0,,24-06-2021 03:51:21,IT,,Inactive,Normal,Invalid,Struggles with deadlines
5134,Robert Chapman,27.0,,2018-10-26,Sales,,Inactive,Normal,,
2871,Dana Wheeler,,46126.82,2015-08-24,Sales,,On Leave,,Valid,Great performer
5932,Krista Yates,,,2015-01-16,Sales,2.45,On Leave,Normal,Valid,Exceeds expectations
8835,James Nelson,36.0,,2017-10-21,Marketing,4.46,On Leave,Normal,Invalid,Struggles with deadlines
8655,Jennifer Deleon,,,2018-09-21,Finance,,Active,,Valid,
4897,Tyrone Schneider,,,2019-07-26,IT,2.85,Active,,,Great performer
5492,Timothy Morton,,149179.84,2019-06-15,HR,,On Leave,,,Exceeds expectations
4,Shaun Nelson,,,2015-09-11,Finance,,Active,,,Struggles with deadlines
9267,Jorge Swanson,22.0,200000.0,2023-10-13,Finance,,Active,Normal,Invalid,Exceeds expectations
2459,Michael Thompson,,,2021-03-19,IT,,Inactive,,Valid,Great performer
1286,Pamela King,56.0,32334.11,2024-11-18,Marketing,,Inactive,Normal,Valid,Needs improvement in time management
8099,Laura Long,,200000.0,2019-05-01,HR,4.46,On Leave,,,Exceeds expectations
9138,Anthony Brewer MD,,,2024-07-16,Finance,,On Leave,,,Needs improvement in time management
5659,Tina Hooper,,39613.0,2020-11-28,IT,,Active,,,Great performer
5468,Patrick Rivers,,,2019-02-14,HR,4.25,Active,Normal,,Great performer
1685,Charles Smith,18.0,70736.35,2021-08-12,Marketing,,Active,Outlier,Valid,Exceeds expectations
7411,Hannah Clark,,40325.92,2020-09-23,HR,2.76,Active,,,Exceeds expectations
5206,Ian Jennings,29.0,,2016-12-16,HR,,On Leave,Normal,Valid,Needs improvement in time management
2983,Jonathan Rogers,,,2024-08-28,HR,1.43,Inactive,,,Exceeds expectations
3413,Jessica Hall,,,2023-12-03,Sales,1.66,On Leave,,Invalid,Struggles with deadlines
1085,Antonio Weber,66.0,,2015-01-27,IT,1.78,Inactive,Outlier,,Struggles with deadlines
7689,Charles Walsh,,130615.03,2018-04-30,Sales,4.46,Active,,Invalid,Struggles with deadlines
3149,Margaret Frank,,,2016-03-24,HR,1.89,Active,,,Great performer
938,Paige Mann,,,2023-07-20,HR,2.4,Active,,Invalid,Needs improvement in time management
1040,Courtney Alexander,,49019.37,2021-10-29,Sales,,Inactive,,,Great performer
3596,Justin Smith,20.0,,2022-07-25,HR,,Inactive,Normal,,
1892,Darrell Hill,,138826.32,2021-12-09,Sales,,Inactive,,Invalid,Great performer
8508,Joel Mills,,,2016-12-23,HR,,On Leave,,Valid,Struggles with deadlines
8181,Emily Rose,,,2024-01-02,Sales,2.14,On Leave,Normal,Valid,
2168,Kevin Conner,31.0,,2015-06-05,HR,,Inactive,Normal,,Exceeds expectations
8167,Mary Sherman,28.0,,2016-01-30,Finance,4.53,Active,Normal,Invalid,Needs improvement in time management
9347,Carolyn George,,,13-12-2020 23:21:09,HR,,Inactive,,Invalid,Struggles with deadlines
5850,Tammy Ferguson,,81368.34,2019-11-23,IT,,Active,,Valid,Exceeds expectations
6174,Christopher Morse,57.0,103657.45,2015-10-14,Sales,,On Leave,Normal,,Needs improvement in time management
9197,Mark Copeland,46.0,103524.13,2020-06-11,Finance,1.53,Active,Normal,Invalid,Great performer
440,Christina Gallegos,29.0,,2015-02-17,HR,,Inactive,Normal,Valid,Needs improvement in time management
8672,Susan Kirby,80.0,40677.5,2021-06-03,Sales,4.16,Inactive,,Invalid,Struggles with deadlines
8383,Kylie Nelson,,61686.86,2015-06-06,Marketing,,Inactive,,Invalid,Great performer
7356,Mitchell Evans,24.0,57227.1,2018-11-11,Marketing,,Inactive,Normal,Valid,Needs improvement in time management
1473,Derrick Ortega,,,2016-10-10,IT,1.87,Inactive,,Valid,Exceeds expectations
8878,Claudia King,30.0,63566.41,2018-08-04,Finance,,Inactive,Normal,Valid,Needs improvement in time management
3871,Eric Russell,49.0,37786.7,2023-12-01,Marketing,,Active,Normal,Invalid,Struggles with deadlines
6426,Jason French,,105009.37,2021-06-05,IT,2.43,On Leave,,Invalid,Struggles with deadlines
7481,Randall Mendez,25.0,,2023-08-22,Sales,,On Leave,Normal,Valid,Great performer
2233,John Wilson,,,2020-03-11,Finance,4.84,Active,,,Struggles with deadlines
252,Kaylee Alvarado,56.0,,2019-10-26,HR,,Inactive,Normal,Invalid,Struggles with deadlines
6131,Steven Jefferson,,,2020-01-19,Finance,3.11,Inactive,,Invalid,Needs improvement in time management
9142,Becky Harris,,95316.67,2024-07-04,Marketing,,Inactive,,Invalid,Exceeds expectations
6390,Kimberly Mccormick,,99692.06,2017-01-20,IT,4.34,On Leave,,Valid,
3210,Marcus Jones,,33600.54,2021-12-31,Sales,1.29,Inactive,,Valid,Struggles with deadlines
7261,Melissa Osborn,52.0,,2023-03-12,Marketing,4.58,On Leave,Normal,Valid,Great performer
2349,Kelly Gonzalez,,30568.38,2019-12-18,Finance,2.74,Inactive,,Invalid,Great performer
6432,Tonya Brown,,110244.45,2015-01-27,Marketing,,Active,,Invalid,
6350,Joseph Hernandez,,,2024-07-24,IT,,On Leave,,Invalid,
5051,Lisa Reynolds,,,2020-12-27,Marketing,,On Leave,,Invalid,
7015,Dustin Lucero,,,2020-09-27,Finance,3.76,On Leave,,Invalid,
6591,Debra Walker,39.0,,2021-02-25,IT,,Inactive,Normal,Invalid,Exceeds expectations
1298,Chelsea Chapman,48.0,,2015-10-02,Sales,,Inactive,Normal,Invalid,Needs improvement in time management
8981,James Miles,,,2021-06-20,Marketing,,Inactive,,Valid,Needs improvement in time management
5699,Dana Cantrell,,,2022-01-23,IT,,On Leave,Normal,,Exceeds expectations
5736,Keith Williams,,,2022-06-20,Marketing,1.04,Active,,Invalid,Exceeds expectations
1113,Wesley Ferguson,,125121.7,2020-09-13,Marketing,1.02,Inactive,,,
9937,Mary Bennett,,,2023-06-10,HR,,Active,,,Needs improvement in time management
2013,Heather Long,63.0,90428.76,2017-02-12,Marketing,4.16,Active,Normal,,
7873,Amanda Mcfarland,,,2019-01-10,HR,,Active,,Valid,Struggles with deadlines
7362,James West MD,,,2018-11-01,IT,,Inactive,,Valid,Struggles with deadlines
1796,Leslie Chambers,23.0,,2015-11-08,Finance,3.32,Inactive,Normal,Valid,Great performer
3956,Amanda Harrell,,,2022-04-17,HR,,Active,,Invalid,Struggles with deadlines
1146,Harold Mckinney,45.0,,2020-04-08,Finance,,Inactive,Normal,Invalid,Needs improvement in time management
2336,Edward Hodge,52.0,200000.0,2017-02-07,HR,,On Leave,Normal,Invalid,Exceeds expectations
6153,Gina Oliver,70.0,36875.54,2018-11-16,Sales,1.31,Active,Outlier,Invalid,Struggles with deadlines
8352,Alexander Haley,,,2023-03-22,Sales,,Active,,Invalid,Exceeds expectations
3446,Oscar Adkins,,123678.09,2018-07-21,Marketing,,Inactive,,,
677,James King,37.0,54011.57,2020-08-29,Sales,4.61,On Leave,Normal,,Great performer
5172,Kevin Atkinson,25.0,108509.52,2021-10-16,HR,2.44,On Leave,Normal,Invalid,
8737,Misty Anderson,,,2019-05-09,IT,4.89,On Leave,,Valid,Great performer
6583,Savannah Kaufman,,140246.78,2024-04-13,IT,4.4,Active,,Valid,Exceeds expectations
3351,Mr. Jonathan Barnett,56.0,112585.64,2015-05-08,IT,4.34,Inactive,Normal,Valid,Exceeds expectations
4476,Andrew Patrick,54.0,,2017-05-09,HR,2.83,Active,Normal,Invalid,Great performer
5222,Timothy Campbell,20.0,85505.14,2019-05-26,IT,1.24,On Leave,Normal,Valid,
4506,Matthew Larson,49.0,76290.93,2016-09-14,IT,,On Leave,Normal,Invalid,Exceeds expectations
9374,Kyle James,64.0,63932.96,2022-10-20,Finance,3.66,Active,Normal,,Struggles with deadlines
7282,Anna Brown,60.0,57467.93,2024-01-18,HR,,Inactive,Normal,,Struggles with deadlines
9007,Manuel Kent,,108411.3,2018-03-24,IT,4.26,Active,,Invalid,Struggles with deadlines
4727,Jose Hurst,32.0,,2023-12-09,Sales,,On Leave,Normal,Valid,Great performer
5235,Nicholas Barnes,,,2019-08-22,HR,,On Leave,,Valid,Struggles with deadlines
669,Richard Parker,,,29-04-2023 02:16:05,Finance,3.41,On Leave,,Invalid,Struggles with deadlines
8241,Jose Powers,,,2019-05-25,HR,,Active,,Valid,Exceeds expectations
3474,Alison Alvarez,65.0,,2016-07-31,HR,4.9,Inactive,Normal,Valid,Exceeds expectations
5703,Ashley Hernandez,60.0,,2023-03-12,HR,2.34,Inactive,Normal,,Struggles with deadlines
9775,Russell Berry,,,2015-12-30,IT,2.9,On Leave,,,Struggles with deadlines
4123,Manuel Oconnell,,,2019-02-06,Finance,4.79,Inactive,,,Exceeds expectations
4478,Walter Miller,56.0,,2019-06-29,Finance,,Inactive,Normal,Invalid,Needs improvement in time management
97,Tammy Rodgers,38.0,,2021-04-01,HR,,On Leave,Normal,,Exceeds expectations
9307,Benjamin Taylor,45.0,132468.21,2023-05-10,Finance,,On Leave,Normal,Invalid,Exceeds expectations
3033,Dale Fox,29.0,142373.34,2016-01-12,Sales,,Active,Normal,Invalid,
1786,Maurice Rodriguez,,,2016-12-17,IT,,On Leave,,Valid,
7820,Katie Thompson,,,2015-10-05,Sales,2.47,On Leave,,,
6356,Jeremy Miller,,86787.1,2022-09-19,Finance,,Inactive,,,
593,Charles Knight,60.0,,2022-01-14,IT,,Inactive,Normal,,
1209,Traci Farley,80.0,142810.91,2022-01-28,Finance,3.92,Inactive,,Valid,
120,Caitlin Watson,33.0,67006.06,2018-04-27,HR,,Inactive,Normal,Valid,Struggles with deadlines
6097,Maria Smith,,,2020-05-28,HR,,Inactive,,Invalid,Needs improvement in time management
4902,Evan Jones,24.0,70637.04,2017-06-05,IT,,On Leave,Normal,Invalid,Struggles with deadlines
8789,Susan Doyle,,30395.18,2023-12-29,Finance,,On Leave,,,
3289,Nicole Stone,,,2016-03-25,Sales,,On Leave,,Valid,Exceeds expectations
5341,Donald Jackson,56.0,,2015-10-12,Sales,,Inactive,Normal,,Needs improvement in time management
3911,Michael Allen,,,2024-03-11,Sales,4.97,Active,,,Exceeds expectations
6495,Michael Houston,,30977.81,2018-03-23,HR,,On Leave,,Valid,Needs improvement in time management
3025,Kaitlin Ballard,68.0,,2016-06-28,Marketing,,On Leave,Outlier,,Great performer
7717,Karen Moran,,,2016-04-27,Marketing,,On Leave,,Invalid,Great performer
1394,Robert Ashley,15.0,,2022-11-23,IT,,Inactive,Normal,Invalid,Exceeds expectations
7999,Ashley Haley,42.0,,2020-03-20,HR,,Active,Normal,,Needs improvement in time management
959,Bryan Jones,33.0,118073.77,2023-10-15,HR,1.69,Active,Normal,Valid,
269,Colleen Green,,,2021-09-20,Marketing,,Inactive,,Invalid,Exceeds expectations
5945,Terry Smith,,,2015-11-04,Marketing,,Active,,,
6798,Shane Jackson,80.0,66437.08,2021-01-31,HR,,Active,Normal,Valid,Great performer
4253,Cindy Ball,,139977.76,2023-01-03,IT,,Inactive,,Invalid,Struggles with deadlines
